Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Sultan, W.; Ashfaq, H.; Ashraf, H.; Khan, A.; Hashmi, A.O.; Larik, M.O.; Zahid, M.; Majeed, Y.; Bhattarai, P.; Dang, A.K.; Aziz, A.A.; Arshad, H.M.S.","Temporal Trends in Cardiovascular Mortality in Underlying Viral Hepatitis: A Retrospective Analysis of Gender, Racial/Ethnic, and Regional Disparities",JGH Open,9,8,,
"Lieberman-Cribbin, W.; Liu, B.; Leoncini, E.; Flores, R.; Taioli, E.",Temporal trends in centralization and racial disparities in utilization of high-volume hospitals for lung cancer surgery,Medicine (United States),96,16,,
"Liang, P.S.; Mayer, J.D.; Wakefield, J.; Ko, C.W.","Temporal Trends in Geographic and Sociodemographic Disparities in Colorectal Cancer Among Medicare Patients, 1973-2011",Journal of Rural Health,33,4,361,370
"Arif, T.B.; Ahmad, J.; Afzal, N.; Butt, M.A.; Afzal, S.; Ahmad, F.; Ur Rahman, M.A.; Munir, L.; Ur-Rahman, A.U.; Shaikh, T.",Temporal Trends in Mortality Related to Crohn's Disease in the United States: A 21-year Retrospective Analysis of CDC-WONDER Database,Journal of Clinical Gastroenterology,,,,
"Cole, A.P.; Dalela, D.; Hanske, J.; Mullane, S.A.; Choueiri, T.K.; Meyer, C.P.; Nguyen, P.L.; Menon, M.; Kibel, A.S.; Preston, M.A.; Bellmunt, J.; Trinh, Q.-D.",Temporal trends in receipt of adequate lymphadenectomy in bladder cancer 1988 to 2011,Urologic Oncology: Seminars and Original Investigations,33,12,504,5.04E+19
"Suolang, D.; Chen, B.J.; Wang, N.-Y.; Gottesman, R.F.; Faigle, R.","Temporal Trends in Stroke Thrombolysis in the US by Race and Ethnicity, 2009-2019",JAMA,326,17,1741,1743
"Folino, G.; Zent, I.; Eason, L.; Murugan, V.; Billion, T.; Abdul Jabbar, A.B.; Mirza, M.; Tauseef, A.",Temporal trends of cervical cancer demographics: a CDC WONDER database study,Frontiers in Oncology,15,,,
"Guedeney, P.; Baber, U.; Claessen, B.; Aquino, M.; Camaj, A.; Sorrentino, S.; Vogel, B.; Farhan, S.; Faggioni, M.; Chandrasekhar, J.; Kalkman, D.N.; Kovacic, J.C.; Sweeny, J.; Barman, N.; Moreno, P.; Vijay, P.; Shah, S.; Dangas, G.; Kini, A.; Sharma, S.; Mehran, R.","Temporal trends, determinants, and impact of high-intensity statin prescriptions after percutaneous coronary intervention: Results from a large single-center prospective registry",American Heart Journal,207,,10,18
"Farber, S.; Morang, M.Z.; Widener, M.J.",Temporal variability in transit-based accessibility to supermarkets,Applied Geography,53,,149,159
"Kennedy, J.L.; Forrest, J.; Young, S.G.; Amick, B.; Williams, M.; James, L.; Snowden, J.; Cardenas, V.M.; Boothe, D.; Kirkpatrick, C.; Modi, Z.; Caid, K.; Owens, S.; Kouassi, M.; Mann, R.; Putt, C.; Irish-Clardy, K.; MacEchko, M.D.; Brimberry, R.K.; Nembhard, W.N.; McElfish, P.A.; Du, R.; Jin, J.; Zohoori, N.; Kothari, A.; Hagrass, H.; Olgaard, E.; Boehme, K.W.",Temporal Variations in Seroprevalence of Severe Acute Respiratory Syndrome Coronavirus 2 Infections by Race and Ethnicity in Arkansas,Open Forum Infectious Diseases,9,5,,
"Ebinger, J.E.; Driver, M.; Ji, H.; Claggett, B.; Wu, M.; Luong, E.; Sun, N.; Botting, P.; Kim, E.H.; Hoang, A.; Nguyen, T.T.; Diaz, J.; Park, E.; Davis, T.; Hussain, S.; Cheng, S.; Figueiredo, J.C.",Temporal variations in the severity of COVID-19 illness by race and ethnicity,"BMJ Nutrition, Prevention and Health",4,1,166,173
"Sharkey, P.","Temporary Integration, Resilient Inequality: Race and Neighborhood Change in the Transition to Adulthood",Demography,49,3,889,912
"Park, Kevin A.",Temporary Loan Limits as a Natural Experiment in Federal Housing Administration Insurance,HOUSING POLICY DEBATE,27,3,449,466
"WILSON, LVE",TEMPORARY MEASURE OR PERMANENT SOLUTION - AFFIRMATIVE-ACTION AND THE FUTURE OF RACE-BASED PREFERENCES IN HIRING,URBAN LEAGUE REVIEW,16,1,35,43
"BEAUREGARD, RA",TENACIOUS INEQUALITIES POLITICS AND RACE IN PHILADELPHIA,URBAN AFFAIRS REVIEW,25,3,420,434
"Matias, C.E.; Liou, D.D.",Tending to the Heart of Communities of Color: Towards Critical Race Teacher Activism,Urban Education,50,5,601,625
"Woodard, R.; Rao, A.",Tensions and Possibilities in Fostering Critical Language Ideologies in Elementary Teacher Education,Studying Teacher Education,16,2,183,203
"Furman, Jim S.",Tensions in Multicultural Teacher Education Research Demographics and the Need to Demonstrate Effectiveness,EDUCATION AND URBAN SOCIETY,41,1,55,79
"Pool, A.C.; Patterson, F.; Luna, I.Y.; Hohl, B.; Bauer, K.W.",Ten-Year Secular Trends in Youth Violence: Results From the Philadelphia Youth Risk Behavior Survey 2003-2014,Journal of School Health,87,4,244,252
"Aghdam, N.; Carrasquilla, M.; Wang, E.; Pepin, A.N.; Danner, M.; Ayoob, M.; Yung, T.; Collins, B.T.; Kumar, D.; Suy, S.; Collins, S.P.; Lischalk, J.W.",Ten-Year Single Institutional Analysis of Geographic and Demographic Characteristics of Patients Treated With Stereotactic Body Radiation Therapy for Localized Prostate Cancer,Frontiers in Oncology,10,,,
"Bangolo, A.; Tran, H.H.-V.; Alqinai, B.; Goyal, R.; Ahmed, S.; Qasim, A.; Rojas, G.; Madan, S.; Barbosa, H.; Mustafa, Z.; Waseem, R.; Ingersoll, G.; Khan, H.; Guzzetti, A.; Daniel, J.; Parkar, S.; Tiwari, A.; Lafleur, S.; Cingapagu, R.; Amasyali, S.Y.; Chen, E.P.-S.; Weissman, S.",Ten-Year Trends in Hepatocellular Carcinoma Mortality: Examining the Interaction Between Fibrosis Score and Patient Age,Diseases,13,8,,
"Jacobson, J.L.; Jacobson, S.W.; Sokol, R.J.; Martier, S.S.; Ager, J.W.; Kaplan-Estrin, M.G.",Teratogenic Effects of Alcohol on Infant Development,Alcoholism: Clinical and Experimental Research,17,1,174,183
"Greene, A.B.; Jackson, C.L.",Terbutaline metered-dose inhalation vs metaproterenol by hand-held nebulization: A comparison in black inner-city COPD patients,Journal of the National Medical Association,80,4,393,396
"Benediktsson, Mike Owen",Territories of Concern: Vacant Housing and Perceived Disorder on Three Suburban Blocks,CITY & COMMUNITY,13,3,191,213
"Johnston, Robert C.","Test Scores Up in Urban Districts, Report Says.",Education Week,20,38,3,
"Jarvis, J.E.; Perez, J.; Himmelgreen, D.; Dumford, A.D.; Conner, K.; Stern, M.; DeBate, R.",Test Validity of a Single-Item Food Insecurity Screening Assessment Among College Students,American Journal of Health Promotion,39,3,514,519
"Rovito, M.J.; Taylor, S.; Lockwood, R.; Adams, W.B.; Craycraft, M.",Testicular Cancer Incidence and Mortality Within Rural and Urban Regions,Journal of Adolescent and Young Adult Oncology,9,2,202,207
"Leung, M.M.; Mateo, K.F.; Dublin, M.; Harrison, L.; Verdaguer, S.; Wyka, K.",Testing a Web-Based Interactive Comic Tool to Decrease Obesity Risk Among Racial and Ethnic Minority Preadolescents: Randomized Controlled Trial,JMIR Formative Research,9,,,
"Zusevics, Kaija L.",Testing an Intervention to Impact Student Engagement and Hope among Urban Students: A Social Determinants of Health Framework,Dissertations & Theses,,,,
"Christopoulos, K.A.; Kaplan, B.; Dowdy, D.; Haller, B.; Nassos, P.; Roemer, M.; Dowling, T.; Jones, D.; Hare, C.B.",Testing and linkage to care outcomes for a clinician-initiated rapid hiv testing program in an urban emergency department,AIDS Patient Care and STDs,25,7,439,444
"Mullin, S.; Wang, S.; Morozova, I.; Berenson, J.; Asase, N.; Rodney, D.J.; Arthur, S.; Murukutla, N.",Testing Communication Concepts on COVID-19 Contact Tracing Among Black and Latinx/Hispanic People in the United States,Journal of Racial and Ethnic Health Disparities,9,6,2300,2316
"Galster, G.; Wissoker, D.; Zimmermann, W.",Testing for discrimanation in home insurance: Results from New York City and Phoenix,Urban Studies,38,1,141,156
"Hedberg, K.; Klockner, R.; Fleming, D.","Testing for HIV in the public and private sectors - Oregon, 1988-1992",JAMA,268,10,1251,1252
"ELIGON, JOHN ; Davey, Monica ; Delaquérière, Alain",Testing Ground for a New Detroit.,New York Times,163,56555,A1,A11
"Sullivan, Laura R.",Testing the chain of inclusion: Examining if upzoning changes the housing supply and demographics of places using national data.,Journal of Urban Affairs,,,1,22
"Burt, N.M.; Sauer, N.; Fenton, T.","Testing the Demirjian and the International Demirjian Dental Aging Methods on a Mixed Ancestry Urban American Subadult Sample from Detroit, MI",Journal of Forensic Sciences,56,5,1296,1301
"Aguirre, B.E.; Sáenz, R.",Testing the effects of collectively expected durations of migration: The naturalization of Mexicans and Cubans,International Migration Review,36,1,103,124
"Foster, Kirk A.; Smith, Richard J.; Bell, Bethany A.; Shaw, Todd C.",Testing the Importance of Geographic Distance for Social Capital Resources,URBAN AFFAIRS REVIEW,55,1,231,256
"Ryan, P.; Weiss, M.; Traxel, N.; Brondino, M.",Testing the Integrated Theory of Health Behaviour Change for postpartum weight management,Journal of Advanced Nursing,67,9,2047,2059
"Kramer, R.",Testing the role of barriers in shaping segregation profiles: The importance of visualizing the local neighborhood,Environment and Planning B: Urban Analytics and City Science,45,6,1106,1121
"Argeros, Grigoris",Testing the Spatial Assimilation Model on Black Ethnic Immigrant Locational Outcomes within Mature and Developing Suburbs,URBAN SCIENCE,3,3,,
"Weinberg, BA",Testing the spatial mismatch hypothesis using inter-city variations in industrial composition,REGIONAL SCIENCE AND URBAN ECONOMICS,34,5,505,532
"McMahon, S.; Zhou, X.; Baggett, C.D.; Bjurlin, M.A.; Chen, R.C.; Riggs, S.B.; Litwin, M.S.; Milowsky, M.I.; Wallen, E.M.; Tan, H.-J.",Testis Cancer Care in North Carolina: Implications for Real-World Evidence and Cancer Surveillance,Clinical Genitourinary Cancer,20,4,307,318
"Zhang, Y.; Reicks, M.",Test-retest reliability and convergent validity of two brief fruit and vegetable intake questionnaires among school-aged children,Nutrients,9,7,,
"Evenson, K.R.; Eyler, A.A.; Wilcox, S.; Thompson, J.L.; Burke, J.E.",Test-retest reliability of a questionnaire on physical activity and its correlates among women from diverse racial and ethnic groups,American Journal of Preventive Medicine,25,3 SUPPL. 1,15,22
"Healy, C.M.; Ng, N.; Taylor, R.S.; Rench, M.A.; Swaim, L.S.",Tetanus and diphtheria toxoids and acellular pertussis vaccine uptake during pregnancy in a metropolitan tertiary care center,Vaccine,33,38,4983,4987
"Meyers, Gregory A.",Texas School Accountability: A Blueprint for Literacy?,Dissertations & Theses,,,,
"Mason, M.J.; Mennis, J.; Way, T.; Zaharakis, N.M.; Campbell, L.F.; Benotsch, E.G.; Keyser-Marcus, L.; King, L.",Text Message Delivered Peer Network Counseling for Adolescent Smokers: A Randomized Controlled Trial,Journal of Primary Prevention,37,5,403,420
"Goodwin, B.; Wilson, E.S.; Oware, M.M.; Kestian, H.H.; Stigdon, T.J.; Miller, E.A.",Text mining and the examination of language used to report child maltreatment: How language impacts child welfare intake reports,Children and Youth Services Review,133,,,
"Coker, T.R.; Mitchell, S.J.; Lowry, S.J.; Klein, E.J.; Stout, J.W.; Brown, J.C.; Liljenquist, K.S.; Wingfield, E.; Horn, I.B.",Text2Breathe: Text-Message Intervention for Parent Communication and Pediatric Asthma,Academic Pediatrics,23,1,123,129
"Stockwell, M.S.; Kharbanda, E.O.; Andres Martinez, R.A.; Lara, M.; Vawdrey, D.; Natarajan, K.; Rickert, V.I.",Text4health: Impact of text message reminder-recalls for pediatric and adolescent immunizations,American Journal of Public Health,102,2,e15,e21
"Alves, M.; Asbell, P.; Doǧru, M.; Giannaccare, G.; Grau-Diez, A.; Gregory, D.; Kim, D.H.; Marini, M.C.; Ngo, W.; Nowińska, A.; Saldanha, I.J.; Villani, E.; Wakamatsu, T.H.; Yu, M.; Stapleton, F.",TFOS Lifestyle Report: Impact of environmental conditions on the ocular surface,Ocular Surface,29,,1,52
"Hill, Marc Lamont","Thank You, Black Twitter: State Violence, Digital Counterpublics, and Pedagogies of Resistance",URBAN EDUCATION,53,2,286,302
"Hoover, R.N.",That recognised risk factors can explain past and present international differences in breast cancer incidence: Misconceptions 6,British Journal of Cancer,107,3,408,410
"Fuller, R.D.; Harrison, C.K.; Bukstein, S.J.; Martin, B.E.; Lawrence, S.M.; Gadsby, P.",That Smart Dude: A Qualitative Investigation of the African American Male Scholar-Baller Identity,Urban Education,55,5,813,831
"Sosa, Teresa",That Sure is Racist: Classroom Race Talk as Resistance,EDUCATION AND URBAN SOCIETY,52,7,1039,1065
"Rivers, Ishwanzya D.; Patton, Lori D.; Farmer-Hinton, Raquel L.; Lewis, Joi D.","That Wasn't My Reality: Counter-Narratives of Educational Success as East St. Louis' Educators ""Reimagine"" Savage Inequalities",URBAN EDUCATION,57,3,335,364
"Allen, Quaylan; White-Smith, Kimberly","That's Why I Say Stay in School: Black Mothers' Parental Involvement, Cultural Wealth, and Exclusion in Their Son's Schooling",URBAN EDUCATION,53,3,409,435
"Smith, N; Caris, P; Wyly, E","The ""Camden syndrome"" and the menace of suburban decline - Residential disinvestment and its discontents in Camden county, New Jersey",URBAN AFFAIRS REVIEW,36,4,497,531
"Lew, J.","The ""other"" story of model minorities: Korean American high school dropouts in an urban context",Anthropology and Education Quarterly,35,3,303,323
"Fortner, M.J.","The ""silent majority"" in black and white: Invisibility and imprecision in the historiography of mass incarceration",Journal of Urban History,40,2,252,282
"Dinces, Sean; Lamberti, Christopher","The ""Spirit of Revolt"": A Reappraisal of Black Veterans in Chicago's Red Summer",JOURNAL OF URBAN HISTORY,,,,
"Lee, Jieun; Vojnovic, Igor; Grady, Sue C.","The ""transportation disadvantaged': Urban form, gender and automobile versus non-automobile travel in the Detroit region",URBAN STUDIES,55,11,2470,2498
"Istre, G.R.; McCoy, M.; Stowe, M.; Barnard, J.J.; Moore, B.J.; Anderson, R.J.","The ""unintended pedestriań on expressways",Traffic Injury Prevention,8,4,398,402
"Smalarz, Matthew","The ""White Island"": Whiteness in the making of public and private space in northeast Philadelphia, 1854-1991",Dissertations & Theses,,,,
"Bryant, Adam",The $105 Billion Question.,Newsweek,138,17,62,
"Tefera, A.A.; Siegel-Hawley, G.; Sjogren, A.L.","The (In)Visibility of Race in School Discipline Across Urban, Suburban, and Exurban Contexts",Teachers College Record,124,4,151,179
"Marrun, N.A.; Mireles, D.; Beck, J.S.; Clark, C.",The (non) numeric truths behind college and career aspirations: a QuantCrit analysis of the precarious pathways for secondary students of color,Race Ethnicity and Education,,,,
"Seiler, S.; Chepyator-Thomson, J.R.",The (Not So) United Soccer of Atlanta: An Early History of Class Distinction and Racial Separatism in Organized Youth Soccer,International Journal of the History of Sport,39,2,210,239
"Clayton, Paige; Liu, Cathy Yang; Motoyama, Yasuyuki",The (Uneven) Spatial Distribution of Entrepreneurial Support Organizations in the Regional Ecosystem,JOURNAL OF PLANNING EDUCATION AND RESEARCH,,,,
"Zavareh Hofmann, S.Z.; Ponder, C.S.; Herrera, H.; de Vera, M.; Drake Rodriguez, A.; Buyana, K.",The ‘colorblindness’ of climate finance: how climate finance advances racial injustice in cities,City,29,2-Jan,241,261
"Farinde-Wu, A.; Alvarez, A.J.; Allen-Handy, A.",The ‘I’ in Identity: A White Future Teacher Confronts Race in an Urban School,Whiteness and Education,5,1,112,129
"Lee, J.; Vojnovic, I.; Grady, S.C.","The ‘transportation disadvantaged’: Urban form, gender and automobile versus non-automobile travel in the Detroit region",Urban Studies,55,11,2470,2498
"Barnes, S.L.; Jaret, C.",The “american dream” in poor urban neighborhoods: An analysis of home ownership attitudes and behavior and financial saving behavior*,Sociological Focus,36,3,219,239
"Heard, Sandra Rena","The “bad” Black consumer: A study of African-American consumer culture in Washington, D.C., 1910s-1930s",Dissertations & Theses,,,,
"Miller, J.C.; Stovall, T.",The “right to consume”? Re-thinking the dynamics of exclusion/inclusion in consumer society,Consumption Markets and Culture,22,6-May,568,581
"Rovner, M.",The “Social Science” of Segregation: Between the “Charitable” Surveys of the Progressive Era and the “Appraisal” Surveys of the New Deal Era,Journal of Planning History,20,4,326,337
"Schuler, B.R.; DeForge, B.R.",The 12-item short form health survey: A confirmatory factor analysis in an Urban African American sample,Health and Social Work,40,4,e135,e141
"Olmsted, K.S.",The 1930s origins of California's Farmworker-Church alliance,Pacific Historical Review,88,2,240,261
"Jackson, S.A.",The 2023 SSSP Presidential Address Recycled: The Emergence and Re-emergence of Social Problems,Social Problems,71,2,309,318
"Chalmer, R.; Ayers, E.; Weiss, E.F.; Malik, R.; Ehrlich, A.; Wang, C.; Zwerling, J.; Ansari, A.M.; Possin, K.L.; Verghese, J.",The 5-Cog paradigm to improve detection of cognitive impairment and dementia: clinical trial protocol,Neurodegenerative Disease Management,12,4,171,184
"Zea, M.C.; Asner-Self, K.K.; Birman, D.; Buki, L.P.",The abbreviated multidimensional acculturation scale: Empirical validation with two Latino/Latina samples,Cultural Diversity and Ethnic Minority Psychology,9,2,107,126
"Khoo, S.P.; Lim, W.T.; Rajasuriar, R.; Nasir, N.H.; Gravitt, P.; Woo, Y.L.",The acceptability and preference of vaginal self-sampling for Human Papillomavirus (HPV) testing among a multi-ethnic asian female population,Cancer Prevention Research,14,1,105,111
"Sariahmed, K.; Alshabani, N.; Morone, N.",The Acceptability of Somatic Therapy for PTSD Among Patients at an Urban Safety Net Primary Care Clinic,Global Advances in Integrative Medicine and Health,14,,,
"Lidz, C.W.; Mulvey, E.P.; Gardner, W.",The Accuracy of Predictions of Violence to Others,JAMA,269,8,1007,1011
"Hunter, RC; Bartee, R","The achievement gap - Issues of competition, class, and race",EDUCATION AND URBAN SOCIETY,35,2,151,160
"Dahmann, N.; Wolch, J.; Joassart-Marcelli, P.; Reynolds, K.; Jerrett, M.",The active city? Disparities in provision of urban public recreation resources,Health and Place,16,3,431,445
"Eslami, M.H.; Zayaruzny, M.; FitzGerald, G.A.","The adverse effects of race, insurance status, and low income on the rate of amputation in patients presenting with lower extremity ischemia",Journal of Vascular Surgery,45,1,55,59
"Modarres, Ali","The Aesthetics of Equity: Notes on Race, Space, Architecture, and Music",CITIES,26,1,54,56
"Thompson, FT",The affirmative action and social policy views of a select group of white male private high school students,EDUCATION AND URBAN SOCIETY,36,1,16,43
"Bowen, M.S.",The African American Experience: Psychoanalytic Perspectives,Psychoanalytic Psychology,34,2,266,269
"Tyson, Rodney D., Sr.",The African American principals' perceptions of how race impacts their leadership in Georgia,Dissertations & Theses,,,,
"Gardiner, P.S.",The African Americanization of menthol cigarette use in the United States,Nicotine and Tobacco Research,6,SUPPL. 1,S55,S65
"Lewis-Hall, F.",The African-American community,Women's Health Issues,4,2,86,88
"Parker, Karen F.",The African-American Entrepreneur-Crime Drop Relationship: Growing African-American Business Ownership and Declining Youth Violence,URBAN AFFAIRS REVIEW,51,6,751,780
"Swensen, A.R.; Ross, J.A.; Severson, R.K.; Pollock, B.H.; Robison, L.L.",The age peak in childhood acute lymphoblastic leukemia: Exploring the potential relationship with socioeconomic status,Cancer,79,10,2045,2051
"Longino, C.F.; McClelland, K.A.; Peterson, W.A.","The aged subculture hypothesis: Social integration, Gerontophilia and self-conception",Journals of Gerontology,35,5,758,767
"Hibbs, S.D.; Rankin, K.M.; DeSisto, C.; Collins, J.W.",The age-related patterns of preterm birth among urban African-American and non-Latina White mothers: The effect of paternal involvement,Social Science and Medicine,211,,16,20
"Maxwell, C.A.; Miller, R.S.; Dietrich, M.S.; Mion, L.C.; Minnick, A.","The aging of America: A comprehensive look at over 25,000 geriatric trauma admissions to United States hospitals",American Surgeon,81,6,630,636
"Martin, L.G.",The aging of Asia,Journals of Gerontology,43,4,S99,S113
"Pastor, M.; Morello-Frosch, R.; Sadd, J.L.","The air is always cleaner on the other side: Race, space, and ambient air toxics exposures in California",Journal of Urban Affairs,27,2,127,148
"Hedden, A.",The Airplane and the Imperial City: A Brief History of Seattle and American Empire,Journal of Urban History,50,3,525,540
"Kyriakides, C.; Torres, R.D.",The allure of race: From new lefts to New Times,New Political Science,34,1,55,80
"Jones, Richard C.",The ambiguous roles of suburbanization and immigration in ethnic segregation: The case of San Antonio,URBAN GEOGRAPHY,29,3,196,223
"Skerry, Peter Norbert, Jr.",The ambivalent minority: Emergent styles of Mexican-American politics. (Volumes I and II),Dissertations & Theses,,,,
"Hood, J.L.",The American Cultural War and the Restructuring of Kentucky Politics,SAGE Open,9,3,,
"Garrett, B.L.; Jakubow, A.; Desai, A.",The American death penalty decline,Journal of Criminal Law and Criminology,107,4,561,642
"Bauman, John F.","The American downtown - Sagas of race, place, and space",JOURNAL OF URBAN HISTORY,34,3,520,531
"DebChaudhury, S.",The American dream: An Indian version,International Journal of Interdisciplinary Social Sciences,7,1,47,61
"Wolfinger, James","The American Dream-For All Americans: Race, Politics, and the Campaign to Desegregate Levittown",JOURNAL OF URBAN HISTORY,38,3,430,451
"Stainback, Kevin",The American Non-Dilemma: Racial Inequality Without Racism,URBAN STUDIES,51,9,1995,1997
"Fung, C.Y.; Chen, E.; Vapiwala, N.; Pohar, S.; Trifiletti, D.; Truong, M.-T.; Uschold, G.; Schuster, J.; Patel, A.; Jani, A.; Mohindra, P.; Sanders, T.; Gardner, L.; Arnone, A.; Royce, T.",The American Society for Radiation Oncology 2017 Radiation Oncologist Workforce Study,International Journal of Radiation Oncology Biology Physics,103,3,547,556
"Ishimoto, Michael Masao",The American Way: A Historical Ethnographic Study of Asian American Student Leaders in Philadelphia,Dissertations & Theses,,,,
"Durst, N.J.; Wang, W.; Li, W.","The annexation threat: local government boundary changes, race, and the formation of new cities",Urban Geography,43,3,364,386
"Derickson, K.D.",The annihilation of time by space,Urban Geography,41,4,487,491
"Boyd, C.J.","The antecedents of women's crack cocaine abuse: Family substance abuse, sexual abuse, depression and illicit drug use",Journal of Substance Abuse Treatment,10,5,433,438
"Morgen, S.; Maskovsky, J.","The anthropology of welfare ""REFORM"": New perspective on U.S. urban poverty in the post-welfare era",Annual Review of Anthropology,32,,315,338
"Zalla, L.C.; Hutton, H.E.; Fojo, A.T.; Falade-Nwulia, O.O.; Jones, J.L.; Keruly, J.C.; Snow, L.N.; Moore, R.D.; Lesko, C.R.",The anxiety care continuum and its association with viral suppression among persons with HIV,AIDS,38,14,1956,1964
"DALE, R","THE APARTHEID REGIME - POLITICAL-POWER AND RACIAL DOMINATION - PRICE,RM, ROSBERG,CG",JOURNAL OF DEVELOPING AREAS,16,4,612,614
"Opara, I.; Metzger, I.W.; Pham, C.; Boyd, D.T.",The Application of Intersectionality Theory in Family-Based Substance Use Prevention for Urban Black Adolescents,Journal of Family Theory and Review,,,,
"Williams, L.S.; Kyle, J.; Hegarty, T.; Lockett, L.; Grube, J.",The arc of procedural justice in a U.S. non-metro community: traffic stops and policing in the age of disruption,Police Practice and Research,22,1,657,677
"THORSSON, I",THE ARMS-RACE AND DEVELOPMENT - A COMPETITIVE RELATIONSHIP,DEVELOPMENT-SEEDS OF CHANGE-VILLAGE THROUGH GLOBAL ORDER,,1,12,15
"Perkins, B.; Arvidson, C.",The Association Between a Community College’s Teacher Education Program and the 4-year Graduation Rates of Black and Hispanic Teacher Education Students,Community College Journal of Research and Practice,41,8,507,516
"Shusterman, M.; Golub, E.; Mowrey, W.B.; Broder, A.",The association between ABO blood types and venous thromboembolism in individuals with a positive antiphospholipid profile is varied by sex,Lupus,27,2,319,326
"Holder, D.W.; DuRant, R.H.; Harris, T.L.; Daniel, J.H.; Obeidallah, D.; Goodman, E.",The association between adolescent spirituality and voluntary sexual activity,Journal of Adolescent Health,26,4,295,302
"Gupta, R.S.; Zhang, X.; Springston, E.E.; Sharp, L.K.; Curtis, L.M.; Shalowitz, M.; Shannon, J.J.; Weiss, K.B.",The association between community crime and childhood asthma prevalence in Chicago,"Annals of Allergy, Asthma and Immunology",104,4,299,306
"Rabito, F.A.; Iqbal, S.; Shorter, C.F.; Osman, P.; Philips, P.E.; Langlois, E.; White, L.E.",The association between demolition activity and children's blood lead levels,Environmental Research,103,3,345,351
"Christensen, G.T.; Mårtensson, S.; Osler, M.",The association between depression and mortality – a comparison of survey- and register-based measures of depression,Journal of Affective Disorders,210,,111,114
"Mills, A.M.; Shofer, F.S.; Chen, E.H.; Hollander, J.E.; Pines, J.M.",The association between emergency department crowding and analgesia administration in acute abdominal pain patients,Academic Emergency Medicine,16,7,603,608
"Fowler, L.T.S.; Banks, T.I.; Anhalt, K.; Der, H.H.; Kalis, T.","The association between externalizing behavior problems, teacher-student relationship quality, and academic performance in young urban learners",Behavioral Disorders,33,3,167,183
"Waasdorp, T.E.; Baker, C.N.; Paskewich, B.S.; Leff, S.S.","The Association Between Forms of Aggression, Leadership, and Social Status Among Urban Youth",Journal of Youth and Adolescence,42,2,263,274
"Silverman, E.M.; Skinner, J.S.; Fisher, E.S.",The association between for-profit hospital ownership and increased medicare spending,New England Journal of Medicine,341,6,420,426
"Ryan, L.M.; Guagliardo, M.; Teach, S.J.; Wang, J.; Marsh, J.E.; Singer, S.A.; Wright, J.L.; Chamberlain, J.M.","The association between fracture rates and neighborhood characteristics in Washington, DC, children",Journal of Investigative Medicine,61,3,558,563
"Lee, J.H.; Cheng, R.; Schupf, N.; Manly, J.; Lantigua, R.; Stern, Y.; Rogaeva, E.; Wakutani, Y.; Farrer, L.; St George-Hyslop, P.St.; Mayeux, R.","The association between genetic variants in SORL1 and Alzheimer disease in an urban, multiethnic, community-based cohort",Archives of Neurology,64,4,501,506
"Knoff, K.A.G.; Kulik, N.; Mallare, J.; Dombrowski, R.D.",The Association Between Home or Community Garden Access and Adolescent Health,Family and Community Health,45,4,267,271
"Philbin, M.M.; Kinnard, E.N.; Tanner, A.E.; Ware, S.; Chambers, B.D.; Ma, A.; Fortenberry, J.D.",The Association between Incarceration and Transactional Sex among HIV-infected Young Men Who Have Sex with Men in the United States,Journal of Urban Health,95,4,576,583
"Ngai, K.M.; Grudzen, C.; Lee, R.; Tong, V.Y.; Richardson, L.D.; Fernández, A.",The Association Between Limited English Proficiency and Unplanned Emergency Department Revisit Within 72 Hours,Annals of Emergency Medicine,68,2,213,221
"Zhou, C.; Yu, N.N.; Losby, J.L.",The Association between Local Economic Conditions and Opioid Prescriptions among Disabled Medicare Beneficiaries,Medical Care,56,1,62,68
"Yum, S.",The association between minority racial/ethnic groups and travel mode choices,Growth and Change,51,3,1017,1044
"Oclaman, J.M.; Murray, M.L.; Grandis, D.J.; Beatty, A.L.",The Association Between Mobile App Use and Change in Functional Capacity Among Cardiac Rehabilitation Participants: Cohort Study,JMIR Cardio,7,,,
"Wiewel, E.W.; Bocour, A.; Kersanske, L.S.; Bodach, S.D.; Xia, Q.; Braunstein, S.","The association between neighborhood poverty and HIV diagnoses among males and females in New York City, 2010-2012",Public Health Reports,131,2,290,302
"Uddin, J.; Malla, G.; Long, L.; Zhu, S.; Black, N.; Cherrington, A.L.; Dutton, G.R.; Safford, M.M.; Cummings, D.M.; Judd, S.E.; Levitan, E.B.; Carson, A.P.",The association between neighborhood social and economic environment and prevalent diabetes in urban and rural communities: The Reasons for Geographic and Racial Differences in Stroke (REGARDS) study,SSM - Population Health,17,,,
"Oates, G.R.; Juarez, L.D.; Horswell, R.; Chu, S.; Miele, L.; Fouad, M.N.; Curry, W.A.; Fort, D.; Hillegass, W.B.; Danos, D.M.","The Association Between Neighborhood Social Vulnerability and COVID-19 Testing, Positivity, and Incidence in Alabama and Louisiana",Journal of Community Health,46,6,1115,1123
"Hecht, L.M.; Hadwiger, A.; Martens, K.; Hamann, A.; Carlin, A.M.; Miller-Matero, L.R.",The association between number of children and weight loss outcomes among individuals undergoing bariatric surgery,Surgery for Obesity and Related Diseases,17,6,1127,1131
